"JID","batch","feather_id","feather_id_new","feather_year_sampled","feather_date","box","BTO","feather_length","feather_weight","extraction_weight_g","extraction_weight_mg","extraction_volume_ml","evaporation_volume_ml","assaybuffer_ml","dilution","CORT_pg.mL","CORT_pg.dL","CORT_pg.mg","CORT_pg.mg.1","site","sex","bite","box_year","feather_year_grown","year_diff","age_2022","age","JID_year_before","JID_year_grown","JID_year_sampled","tarsus_year_before","weight_year_before","tarsus_year_grown","weight_year_grown","tarsus_year_sampled","weight_year_sampled","tarsus","weight","box_grown","box_grown_year","box_owner_grown","partner_yr_before","partner_yr_grown","partner_yr_sampled","pair_ID_yr_before","pair_ID","pair_ID_year","clutch_size","fledge_nr","fledge_weight","pbvid","body_cond","body_cond_binary","body_cond_binary_num","sex_num","pbvid_mean","pair_ID2","box_density","box_density_cat","mean_tarsus","pair_ID_year2","mean_weight","mean_body_cond","pair_ID_yr_sampled2","feather_year_before","pair_ID_yr_before2","pbvid_mean_yr_before","pbvid_mean_yr_grown","pbvid_mean_yr_sampled","paired_year","repaired_year","feather_year_grown_paired","feather_year_grown_repaired","partner_samediff1","partner_samediff2","partner_samediff3","partner_same","disturbance","body_cond_early","brood_size_early","site_early","site_change","body_cond_c","age_c","body_cond_noNA","pair_ID_yr_sampled","pbvid_mean_c","visit_number","visit_duration","degree","eigenvector","betweenness","strength","mean_strength","closeness","transitivity","pc1","pc2","visit_nr_own_box","visit_nr_prospect"
"J2126","B",40,"B40",2023,"17/06/2023","Y35","EA79134",11.4,0.0933,0.086,86,3,1.5,0.25,1,667.6,0.0668,3.88,3.88,"Y","M",2.66666666666667,"Y35_2023",2022,0,6,6,"J2126_2021","J2126_2022","J2126_2023",NA,NA,43.6,210.5,43.6,221.9,43.6,216.2,NA,"NA_2022","non-owner","UNM6.J2126.2021",NA,"J5088","UNM6.J2126.2021 J2126",NA,"NA_2022",NA,NA,NA,NA,-23.3876231937423,"negative",0,1,NA,NA,NA,NA,43.8333333333333,"NA_2022",219.711111111111,-19.5360428718439,"J5088J2126_2023",2021,"UNM6.J2126.2021J2126_2021",NA,NA,NA,2018,2021,4,1,1,1,2,4,"Low",15.13172354,1,"Y","same_site",-23.3746616597175,1.14457831325301,-23.3876231937423,"J5088 J2126",NA,622,13.0717974322402,89,0.52558415860562,545,2.09978805023123,0.0235931241599015,0.214608497397556,0.593973442288049,-2.22113313373827,0.791522618422949,576,17
"J2149","B",31,"B31",2023,"17/06/2023","Z05","EZ62091",11.9,0.0951,0.0861,86.1,3,1.5,0.25,1,775.8,0.0776,4.51,4.51,"Z","M",2.25,"Z05_2023",2022,0,6,6,"J2149_2021","J2149_2022","J2149_2023",NA,NA,NA,NA,45.4,238.4,45.4,238.4,"Z05","Z05_2022","owner","J2951","J2951","J2951","J2951 J2149","J2951 J2149","J2951 J2149_2022",5,2,494.7,NA,-13.4262812080026,"negative",0,1,NA,"J2951J2149",2,"Low",45.3,"J2951J2149_2022",243,-1.61561334995571,"J2951J2149_2023",2021,"J2951J2149_2021",NA,NA,NA,2020,NA,2,NA,1,1,1,3,"Low",14.97335715,1,"Z","same_site",-13.4133196739777,1.14457831325301,-13.4262812080026,"J2951 J2149",NA,3,6.15666667620341,9,0.00333759096104196,0,0.0826835803894426,0.00918706448771585,0.218834980249761,1,2.03060531333261,-0.844546574329406,921,16
"J2391","B",1,"B1",2023,"05/06/2023","Y07","EZ62127",11.8,0.1032,0.0941,94.1,3,2,0.25,1,806.6,0.0807,3.21,3.21,"Y","M",0.5,"Y07_2023",2022,0,8,8,"J2391_2021","J2391_2022","J2391_2023",NA,NA,NA,NA,42.5,244.4,42.5,244.4,"Y07","Y07_2022","owner","J896","J3492","J3019","J896 J2391","J3492 J2391","J3492 J2391_2022",4,0,NA,NA,12.2915567038612,"positive",1,1,NA,"J3492J2391",3,"Medium",43,"J3492J2391_2022",242.366666666667,8.51058945455537,"J3019J2391_2023",2021,"J896J2391_2021",NA,NA,NA,NA,2022,NA,0,2,2,2,6,"Medium",NA,NA,NA,NA,12.3045182378861,3.14457831325301,12.2915567038612,"J3019 J2391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J2395","B",43,"B43",2023,"25/06/2023","Z03","EZ62132",12,0.1129,0.1136,113.6,3,1.5,0.25,1,1091.3,0.1091,4.8,4.8,"Z","M",5.25,"Z03_2023",2022,0,8,8,"J2395_2021","J2395_2022","J2395_2023",44.8,258.1,NA,NA,45.2,251.4,45,254.75,"Z03","Z03_2022","owner","J1154","J1154","J1154","J1154 J2395","J1154 J2395","J1154 J2395_2022",4,2,437.7,0.096,5.64342057294414,"positive",1,1,0.096,"J1154J2395",0,"Low",44.7333333333333,"J1154J2395_2022",249.433333333333,3.01287272614189,"J1154J2395_2023",2021,"J1154J2395_2021",NA,0.096,NA,NA,2018,NA,4,1,1,1,3,NA,NA,NA,NA,NA,5.656382106969,3.14457831325301,5.64342057294414,"J1154 J2395",0.0165977328862376,10,10.2557999849319,23,0.00752863241942599,0,0.608280706795196,0.026446987251965,0.221978968663866,0.470355731225296,0.249739093607804,-0.526631388560556,3407,20
"J2403","B",19,"B19",2023,"16/05/2023","Y09","EZ62146",11.4,0.0909,0.084,84,3,1.5,0.25,1,646,0.0646,3.85,3.85,"Y","F",0.333333333333333,"Y09_2023",2022,0,8,8,"J2403_2021","J2403_2022","J2403_2023",NA,NA,NA,NA,41.5,241.2,41.5,241.2,"Y09","Y09_2022","owner","J3467","J3467","J3467","J2403 J3467","J2403 J3467","J2403 J3467_2022",3,0,NA,NA,15.890811156228,"positive",1,0,NA,"J2403J3467",2,"Low",41.975,"J2403J3467_2022",229.3,2.87382258401782,"J2403J3467_2023",2021,"J2403J3467_2021",NA,NA,NA,NA,2020,NA,2,1,1,1,3,"Medium",NA,NA,NA,NA,15.9037726902529,3.14457831325301,15.890811156228,"J2403 J3467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J2460","B",59,"B59",2023,"17/04/2023","Y30","EZ62190",11.4,0.0801,0.0682,68.2,3,1.5,0.25,1,412.9,0.0413,3.03,3.03,"Y","F",1.5,"Y30_2023",2022,0,8,8,"J2460_2021","J2460_2022","J2460_2023",NA,NA,NA,NA,40.7,251.8,40.7,251.8,"Y30","Y30_2022","owner","J625","J625","J625","J2460 J625","J2460 J625","J2460 J625_2022",5,2,446.6,0.076,31.9302147181215,"positive",1,0,0.076,"J2460J625",2,"Low",41.025,"J2460J625_2022",216.125,-3.41492882444786,"J2460J625_2023",2021,"J2460J625_2021",NA,0.076,NA,NA,NA,NA,NA,1,1,1,3,"Low",NA,NA,NA,NA,31.9431762521464,3.14457831325301,31.9302147181215,"J2460 J625",-0.00340226711376236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2907,31
"J2488","B",35,"B35",2023,"30/05/2023","Y02","EA79274",12.5,0.1143,0.1025,102.5,3,1.5,0.25,1,479.3,0.0479,2.34,2.34,"Y","M",4.5,"Y02_2023",2022,0,6,6,"J2488_2021","J2488_2022","J2488_2023",NA,NA,NA,NA,44.2,250.2,44.2,250.2,NA,"NA_2022","non-owner","J3899",NA,"J3899","J3899 J2488",NA,"NA_2022",NA,NA,NA,NA,6.53282413483757,"positive",1,1,NA,NA,NA,NA,44.9666666666667,"NA_2022",239.533333333333,0.308728014009701,"J3899J2488_2023",2021,"J3899J2488_2021",NA,NA,NA,2021,NA,1,NA,1,1,1,3,"Medium",NA,NA,NA,NA,6.54578566886243,1.14457831325301,6.53282413483757,"J3899 J2488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543,165
"J2500","B",38,"B38",2023,"10/06/2023","Z23","EA79415",11.3,0.0857,0.0752,75.2,3,1.5,0.25,1,824.4,0.0824,5.48,5.48,"Z","F",NA,"Z23_2023",2022,0,6,6,"J2500_2021","J2500_2022","J2500_2023",NA,NA,NA,NA,41.6,225.5,41.6,225.5,"Z25","Z25_2022","owner","J2168","J2168","J2168","J2500 J2168","J2500 J2168","J2500 J2168_2022",5,2,543.2,NA,-0.489114289008645,"negative",0,0,NA,"J2500J2168",5,"Medium",41.6666666666667,"J2500J2168_2022",225.666666666667,0.716946879784964,"J2500J2168_2023",2021,"J2500J2168_2021",NA,NA,NA,NA,NA,NA,NA,1,1,1,3,"High",NA,NA,NA,NA,-0.476152754983786,1.14457831325301,-0.489114289008645,"J2500 J2168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2168,211
"J2619","B",17,"B17",2023,"07/04/2023","Z19","EZ62475",11.9,0.1047,0.0924,92.4,3,1.5,0.25,1,418.4,0.0418,2.26,2.26,"Z","M",0,"Z19_2023",2022,0,5,5,"J2619_2021","J2619_2022","J2619_2023",NA,NA,NA,NA,43.5,250.7,43.5,250.7,NA,"NA_2022","non-owner","J2680",NA,"J2680","J2680 J2619",NA,"NA_2022",NA,NA,NA,NA,11.7923022514944,"positive",1,1,NA,NA,NA,NA,43.3,"NA_2022",236.9,13.2195814239233,"J2680J2619_2023",2021,"J2680J2619_2021",NA,NA,NA,2021,NA,1,NA,1,1,1,3,"High",12.44484238,3,"Z","same_site",11.8052637855192,0.144578313253012,11.7923022514944,"J2680 J2619",NA,33,4.04393938093474,26,0.00903367534963221,10,0.687868127245274,0.0264564664325106,0.21615100062393,0.584615384615385,0.470009924444286,-0.402564338134688,NA,637
"J2680","B",16,"B16",2023,"07/04/2023","Z19","EZ62560",11.5,0.0851,0.0746,74.6,3,1.5,0.25,1,467.4,0.0467,3.13,3.13,"Z","F",0.333333333333333,"Z19_2023",2022,0,5,5,"J2680_2021","J2680_2022","J2680_2023",NA,NA,NA,NA,45.2,236.2,45.2,236.2,NA,"NA_2022","non-owner","J2619",NA,"J2619","J2680 J2619",NA,"NA_2022",NA,NA,NA,NA,-14.2664303175293,"negative",0,0,NA,NA,NA,NA,44.5333333333333,"NA_2022",226,-20.27857439518,"J2680J2619_2023",2021,"J2680J2619_2021",NA,NA,NA,2021,NA,1,NA,1,1,1,3,"High",-14.57264941,2,"Z","same_site",-14.2534687835044,0.144578313253012,-14.2664303175293,"J2680 J2619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369
